,InvoiceNo,Quantity,CustomerID,TotalSum,CohortMonth,CohortIndex
131,561046,40,16218.0,66.0,2010-12,8
132,558767,2,13833.0,19.9,2011-07,1
133,568312,10,18241.0,20.8,2011-05,5
134,578146,1,13742.0,5.95,2011-01,11
135,572073,1,13263.0,1.69,2011-01,10
136,572321,24,15592.0,30.0,2011-10,1
137,576906,12,18225.0,15.0,2011-02,10
138,576098,20,14862.0,16.4,2011-07,5
139,569824,6,17295.0,4.9799999999999995,2011-10,1
140,554365,12,13089.0,5.04,2010-12,6
141,579196,1,14096.0,11.63,2011-08,4
142,549754,4,13700.0,15.0,2011-01,4
143,554817,6,15622.0,22.5,2011-03,3
144,579472,1,13521.0,2.1,2011-11,1
145,568528,6,13979.0,12.600000000000001,2011-09,1
146,563360,4,15023.0,6.6,2010-12,9
147,567473,1,17841.0,6.25,2010-12,10
148,544448,3,14878.0,4.949999999999999,2010-12,3
149,576326,2,16504.0,2.5,2011-11,1
150,545334,3,15750.0,3.75,2010-12,4
151,578789,24,16161.0,39.599999999999994,2010-12,12
152,565117,12,13089.0,19.799999999999997,2010-12,10
153,565784,2,15089.0,9.9,2011-08,2
154,540968,1,17338.0,7.95,2010-12,2
155,548405,12,17088.0,17.4,2011-03,1
156,543821,12,17667.0,15.0,2011-02,1
157,579167,2,16800.0,1.18,2011-11,1
158,567935,8,13320.0,20.4,2011-05,5
159,549560,1,15058.0,0.65,2011-01,4
160,563739,2,17750.0,4.2,2011-06,3
161,536777,20,15732.0,39.0,2010-12,1
162,553229,1,15039.0,1.25,2010-12,6
163,557896,2,17611.0,5.9,2010-12,7
164,549125,1,14964.0,1.65,2011-04,1
165,558625,12,14132.0,10.2,2011-06,1
166,571296,1,13760.0,1.65,2011-03,8
167,577723,3,16713.0,4.949999999999999,2010-12,12
168,578325,6,16343.0,15.299999999999999,2011-11,1
169,576848,3,15051.0,12.450000000000001,2011-07,5
170,563352,12,15706.0,15.0,2011-08,1
171,578851,2,16407.0,13.9,2011-01,11
172,551987,3,15005.0,1.6500000000000001,2010-12,6
173,544071,25,16317.0,10.5,2011-02,1
174,537200,3,15867.0,4.47,2010-12,1
175,562157,2,16012.0,3.3,2011-07,2
176,549771,1,14669.0,9.95,2011-01,4
177,570675,3,13690.0,14.850000000000001,2011-10,1
178,538209,2,12748.0,4.2,2010-12,1
179,551835,3,17646.0,14.850000000000001,2010-12,6
180,550804,2,16676.0,15.9,2011-01,4
181,550473,1,14623.0,2.08,2011-04,1
182,554697,2,14584.0,4.2,2011-05,1
183,574085,4,17432.0,10.2,2011-11,1
184,575623,3,14064.0,4.949999999999999,2011-03,9
185,541552,1,15039.0,1.25,2010-12,2
186,547556,2,17250.0,8.5,2011-03,1
187,554415,2,18202.0,17.0,2011-02,4
188,536977,7,17954.0,3.8500000000000005,2010-12,1
189,556245,1,17841.0,0.65,2010-12,7
190,572294,4,13471.0,5.8,2011-10,1
191,537405,1,17841.0,2.55,2010-12,1
192,558293,36,13656.0,6.84,2011-01,6
193,580884,2,15907.0,0.24,2011-05,8
194,547667,24,16700.0,10.08,2010-12,4
195,579516,1,17841.0,1.25,2010-12,12
196,552958,12,15498.0,24.96,2010-12,6
197,565460,48,16843.0,60.0,2011-01,9
198,565855,24,15114.0,10.08,2011-02,8
199,573934,6,17719.0,17.700000000000003,2011-03,9
200,551858,1,18041.0,8.5,2010-12,6
201,565432,1,16241.0,4.95,2010-12,10
202,559543,1,17126.0,1.25,2010-12,8
203,537685,10,18077.0,12.5,2010-12,1
204,553224,8,17228.0,3.36,2010-12,6
205,579458,2,16549.0,4.16,2011-01,11
206,541841,4,14450.0,11.8,2011-01,1
207,577798,10,17757.0,8.5,2010-12,12
208,565971,3,13571.0,8.850000000000001,2011-03,7
209,549425,6,14030.0,7.5,2010-12,5
210,578102,10,13089.0,16.5,2010-12,12
211,543369,1,16255.0,4.95,2010-12,3
212,560601,1,16764.0,1.25,2011-07,1
213,561236,48,15159.0,20.16,2010-12,8
214,569234,2,17841.0,7.5,2010-12,11
215,568311,3,17287.0,1.17,2010-12,10
216,555260,3,13263.0,3.75,2011-01,6
217,549570,1,17550.0,1.65,2011-04,1
218,567180,4,17802.0,35.8,2010-12,10
219,557057,48,16843.0,69.6,2011-01,6
220,549735,20,13824.0,33.0,2011-02,3
221,558123,12,15834.0,17.4,2011-03,4
222,541523,2,17708.0,2.5,2011-01,1
223,540687,2,15867.0,2.5,2010-12,2
224,556042,20,14367.0,41.6,2011-03,4
225,560281,2,17984.0,1.7,2011-07,1
226,551524,2,16401.0,10.9,2011-01,5
227,579516,2,17841.0,3.3,2010-12,12
228,557296,2,15334.0,1.7,2011-06,1
229,577356,12,16350.0,19.799999999999997,2011-01,11
230,537815,12,17676.0,25.200000000000003,2010-12,1
231,554950,6,14227.0,17.34,2011-02,4
232,537400,1,17191.0,8.5,2010-12,1
233,575152,8,16284.0,16.64,2011-10,2
234,570190,24,13456.0,15.600000000000001,2011-05,6
235,541260,1,16059.0,0.85,2010-12,2
236,570219,2,16809.0,3.3,2011-03,8
237,578026,6,17659.0,17.700000000000003,2010-12,12
238,558035,2,15258.0,15.9,2011-05,2
239,556891,8,17581.0,39.6,2010-12,7
240,580721,6,15274.0,17.700000000000003,2011-11,2
241,570118,2,13276.0,17.9,2011-09,2
242,574479,2,18035.0,4.16,2011-10,2
243,557016,1,16942.0,1.25,2011-04,3
244,543812,1,17472.0,0.85,2011-02,1
245,540981,12,12868.0,5.04,2010-12,2
246,541566,24,17722.0,10.08,2010-12,2
247,581407,2,13263.0,7.5,2011-01,12
248,563906,6,14246.0,15.299999999999999,2011-04,5
249,575491,25,15531.0,10.5,2011-11,1
250,560862,6,14085.0,2.52,2010-12,8
251,541088,50,15513.0,21.0,2010-12,2
252,551558,3,17841.0,2.4899999999999998,2010-12,6
253,578088,3,16376.0,8.67,2011-11,1
254,579399,6,13137.0,5.1,2011-02,10
255,566581,2,16081.0,9.9,2010-12,10
256,549728,4,17799.0,2.2,2010-12,5
257,563565,4,17338.0,7.8,2010-12,9
258,580260,3,14085.0,6.24,2010-12,13
259,564747,1,14869.0,8.5,2011-08,1
260,562932,2,16904.0,0.78,2010-12,9
261,580660,12,16592.0,15.0,2011-02,11
262,566922,2,16156.0,19.9,2011-02,8
263,575856,1,16386.0,0.42,2011-11,1
264,554030,6,16497.0,17.700000000000003,2011-01,5
265,559806,3,13311.0,12.75,2011-07,1
266,570489,12,14533.0,23.4,2010-12,11
267,557330,25,14291.0,10.5,2011-03,4
268,563448,12,15220.0,5.04,2011-03,6
269,541853,8,17858.0,26.0,2010-12,2
270,550193,8,13952.0,13.2,2011-04,1
271,561894,1,14456.0,2.95,2011-07,1
272,563026,48,15747.0,69.6,2011-06,3
273,580315,48,14560.0,40.8,2010-12,13
274,579093,12,13081.0,45.0,2010-12,12
275,569702,6,14396.0,12.48,2010-12,11
276,574327,6,13013.0,17.700000000000003,2010-12,12
277,537794,2,16713.0,1.7,2010-12,1
278,558696,2,16746.0,12.5,2010-12,8
279,545045,5,15708.0,2.1,2010-12,3
280,576098,12,14862.0,15.0,2011-07,5
281,538652,6,17890.0,12.600000000000001,2010-12,1
282,559153,2,13804.0,13.5,2011-02,6
283,550835,4,15034.0,8.4,2010-12,5
284,564904,12,15984.0,15.0,2011-01,8
285,571054,1,14234.0,0.83,2011-10,1
286,571046,1,18096.0,1.25,2011-10,1
287,557963,2,13709.0,15.9,2011-01,6
288,571846,1,17841.0,0.85,2010-12,11
289,542745,48,15881.0,31.200000000000003,2010-12,2
290,547887,12,16245.0,10.2,2011-03,1
291,571712,3,14056.0,5.85,2011-02,9
292,544319,12,14379.0,5.04,2011-02,1
293,572528,1,13176.0,0.55,2011-10,1
294,563248,6,14702.0,3.3000000000000003,2010-12,9
295,537421,2,17218.0,9.9,2010-12,1
296,550480,2,13069.0,0.38,2010-12,5
297,578551,4,12937.0,17.0,2011-03,9
298,555853,1,14375.0,3.75,2011-06,1
299,563167,6,14696.0,15.299999999999999,2010-12,9
300,581129,18,15498.0,22.5,2010-12,13
301,544106,48,14530.0,40.8,2011-02,1
302,573388,12,14895.0,25.200000000000003,2011-02,9
303,573347,3,13137.0,4.949999999999999,2011-02,9
304,571918,2,17350.0,5.78,2011-10,1
305,550829,1,17841.0,2.49,2010-12,5
306,559672,8,14796.0,3.36,2010-12,8
307,575491,1,15531.0,4.95,2011-11,1
308,551542,24,14732.0,30.0,2011-03,3
309,561322,12,15203.0,5.04,2011-02,6
310,578809,10,13048.0,16.5,2011-01,11
311,569729,10,16350.0,20.8,2011-01,10
312,574896,1,17014.0,2.95,2011-10,2
313,568805,16,12826.0,20.0,2010-12,10
314,549845,9,16729.0,29.25,2011-04,1
315,577694,2,14702.0,8.3,2010-12,12
316,565329,1,14606.0,4.95,2010-12,10
317,577790,6,14198.0,9.899999999999999,2011-07,5
318,568190,2,16342.0,17.9,2011-06,4
319,565285,144,16013.0,712.8000000000001,2010-12,10
320,539294,1,15532.0,5.95,2010-12,1
321,546774,1,14505.0,3.75,2010-12,4
322,570167,16,15615.0,20.0,2010-12,11
323,557219,24,14776.0,10.08,2011-01,6
324,561074,4,13037.0,15.0,2011-03,5
325,568188,1,16049.0,2.55,2011-09,1
326,568947,24,14696.0,15.600000000000001,2010-12,10
327,564733,2,17841.0,9.9,2010-12,9
328,567094,2,16924.0,2.5,2011-09,1
329,580289,24,15856.0,50.400000000000006,2010-12,13
330,564851,24,13183.0,34.8,2011-01,8
331,564800,25,14108.0,10.5,2011-08,1
332,548160,36,16253.0,70.2,2011-03,1
333,575323,72,15392.0,20.88,2010-12,12
334,542246,12,15227.0,10.2,2011-01,1
335,573367,3,16145.0,20.85,2010-12,11
336,542386,8,17540.0,37.2,2011-01,1
337,548612,4,13137.0,5.0,2011-02,3
338,567099,3,15311.0,8.850000000000001,2010-12,10
339,570238,1,16332.0,0.65,2011-02,9
340,578925,3,17365.0,2.55,2011-01,11
341,542360,6,14701.0,15.299999999999999,2011-01,1
342,571672,2,13880.0,19.9,2011-02,9
343,563214,1,16370.0,1.95,2011-04,5
344,548014,3,17719.0,14.850000000000001,2011-03,1
345,555473,10,14700.0,16.5,2011-04,3
346,547510,12,15245.0,24.96,2011-03,1
347,563922,9,14529.0,5.67,2011-08,1
348,551152,2,13230.0,2.5,2011-01,4
349,544778,1,14978.0,5.95,2011-01,2
350,556671,2,17841.0,2.5,2010-12,7
351,572843,4,14315.0,33.0,2011-03,8
352,561857,12,13004.0,9.959999999999999,2010-12,8
353,559317,2,17611.0,5.9,2010-12,8
354,578292,12,13174.0,9.959999999999999,2010-12,12
355,569132,1,17757.0,0.42,2010-12,10
356,543998,60,18093.0,51.0,2011-02,1
357,562284,12,15133.0,19.799999999999997,2011-02,7
358,546220,72,16745.0,39.6,2011-02,2
359,572671,12,13340.0,24.96,2011-03,8
360,546862,2,16216.0,14.5,2011-03,1
361,554160,1,17841.0,1.65,2010-12,6
362,569897,1,17813.0,2.1,2011-09,2
363,558338,12,16824.0,15.0,2011-06,1
364,559357,3,17107.0,11.850000000000001,2011-03,5
365,567905,12,12952.0,20.28,2011-09,1
366,562431,3,13069.0,6.24,2010-12,9
367,548289,12,13988.0,15.0,2011-03,1
368,541855,2,13742.0,5.9,2011-01,1
369,571214,10,14390.0,20.8,2010-12,11
370,576873,7,17835.0,4.55,2011-11,1
371,558454,4,17063.0,15.0,2011-02,5
372,580094,3,15904.0,5.85,2011-12,1
373,581181,20,14189.0,25.0,2010-12,13
374,571229,6,15453.0,11.7,2011-06,5
375,558633,10,16745.0,16.5,2011-02,5
376,553485,6,13208.0,8.7,2011-02,4
377,547651,1,16904.0,1.45,2010-12,4
378,544656,6,17442.0,12.600000000000001,2011-02,1
379,550361,2,13082.0,16.5,2011-01,4
380,556253,4,17652.0,19.8,2011-03,4
381,573564,3,16127.0,14.850000000000001,2011-10,1
382,566959,20,17530.0,16.4,2010-12,10
383,557671,6,13849.0,19.5,2011-06,1
384,574530,1,16887.0,2.55,2011-11,1
385,566774,6,12921.0,17.700000000000003,2010-12,10
386,541481,6,14696.0,15.299999999999999,2010-12,2
387,557622,2,17960.0,1.7,2011-06,1
388,552304,1,12748.0,5.95,2010-12,6
389,576339,6,14096.0,19.740000000000002,2011-08,4
390,568099,1,15916.0,6.95,2010-12,10
391,542737,6,15058.0,7.5,2011-01,1
392,557967,2,17704.0,21.9,2011-04,3
393,570177,10,17509.0,16.5,2011-10,1
394,552786,144,16029.0,220.32,2010-12,6
395,577235,10,14367.0,16.5,2011-03,9
396,543122,12,13819.0,25.200000000000003,2011-01,2
397,564742,1,17346.0,1.25,2010-12,9
398,567939,10,16715.0,3.8,2011-09,1
399,556494,6,17802.0,3.3000000000000003,2010-12,7
400,574691,6,14174.0,7.5,2011-11,1
401,556048,24,15609.0,30.0,2011-06,1
402,562158,1,15039.0,1.25,2010-12,9
403,580676,1,17817.0,0.83,2011-03,10
404,553225,4,16912.0,34.0,2011-01,5
405,580771,4,16015.0,3.16,2011-10,3
406,552839,6,14367.0,34.5,2011-03,3
407,546426,25,13708.0,10.5,2011-03,1
408,560892,4,13089.0,23.8,2010-12,8
409,567211,1,14159.0,1.45,2010-12,10
410,546498,1,15493.0,7.95,2011-03,1
411,558906,2,15555.0,1.58,2010-12,8
412,553565,6,17505.0,15.299999999999999,2011-05,1
413,550131,12,15935.0,5.04,2011-04,1
414,541686,24,16912.0,13.200000000000001,2011-01,1
415,538007,4,14355.0,15.0,2010-12,1
416,539038,20,15641.0,8.4,2010-12,1
417,564872,96,16083.0,158.39999999999998,2011-08,1
418,555653,3,17673.0,2.4899999999999998,2011-01,6
419,547273,8,14530.0,16.8,2011-02,2
420,569461,10,16556.0,8.2,2010-12,11
421,549874,16,16919.0,6.72,2010-12,5
422,547920,1,14730.0,5.45,2011-03,1
423,573323,6,15708.0,12.48,2010-12,11
424,578804,12,17557.0,15.0,2011-09,3
425,577480,12,14525.0,23.4,2010-12,12
426,555015,10,16558.0,20.8,2010-12,6
427,555562,2,17841.0,25.5,2010-12,7
428,557667,4,15606.0,27.0,2011-01,6
429,545153,1,16667.0,3.75,2011-02,1
430,540402,3,16567.0,17.85,2011-01,1
431,560287,3,13821.0,6.24,2011-03,5
432,543824,60,14631.0,111.0,2011-02,1
433,574722,3,14502.0,3.75,2011-01,11
434,562804,10,13355.0,20.8,2011-08,1
435,544165,4,14210.0,17.0,2010-12,3
436,561113,15,17841.0,24.75,2010-12,8
437,553014,5,13451.0,6.25,2011-01,5
438,576147,20,16303.0,33.0,2011-01,11
439,574836,12,17623.0,9.959999999999999,2011-11,1
440,547052,1,18225.0,9.95,2011-02,2
441,577478,22,15963.0,27.5,2011-10,2
442,564335,3,15800.0,14.850000000000001,2011-04,5
443,537224,12,13174.0,17.4,2010-12,1
444,541293,1,15311.0,5.95,2010-12,2
445,546502,1,16005.0,1.25,2011-03,1
446,539988,1,18116.0,4.25,2010-12,1
447,569729,12,16350.0,19.799999999999997,2011-01,10
448,576704,1,14527.0,1.69,2010-12,12
449,549926,504,16333.0,362.88,2011-02,3
450,572859,1,16418.0,1.25,2011-04,7
451,541485,1,18118.0,2.1,2010-12,2
452,549128,1,16713.0,12.75,2010-12,5
453,577318,48,17675.0,100.80000000000001,2010-12,12
454,541280,6,15296.0,15.299999999999999,2011-01,1
455,578925,33,17365.0,28.05,2011-01,11
456,566929,12,17428.0,15.0,2010-12,10
457,568301,4,16383.0,8.4,2011-03,7
458,546422,6,15547.0,7.5,2010-12,4
459,573904,6,14505.0,4.9799999999999995,2010-12,12
460,580613,2,14759.0,19.9,2011-04,9
461,543354,16,13458.0,13.6,2010-12,3
462,568228,48,15358.0,26.400000000000002,2010-12,10
463,574670,2,12838.0,4.98,2010-12,12
464,574732,2,13523.0,17.0,2010-12,12
465,548655,12,15605.0,15.0,2010-12,5
466,541530,6,14769.0,17.700000000000003,2010-12,2
467,560878,5,14410.0,8.25,2011-02,6
468,570208,3,16104.0,50.849999999999994,2011-10,1
469,575607,1,14096.0,0.83,2011-08,4
470,575952,12,16015.0,4.68,2011-10,2
471,570488,3,14096.0,7.38,2011-08,3
472,576538,10,14725.0,42.5,2011-11,1
473,566281,11,12748.0,22.880000000000003,2010-12,10
474,552817,4,13136.0,16.6,2011-05,1
475,577341,12,16279.0,17.4,2011-06,6
476,546376,4,13842.0,15.0,2010-12,4
477,538827,144,14298.0,60.48,2010-12,1
478,571292,2,15311.0,3.3,2010-12,11
479,578284,12,14385.0,19.799999999999997,2011-11,1
480,578303,6,14733.0,29.700000000000003,2010-12,12
481,541708,10,18223.0,19.5,2010-12,2
482,538076,1,15311.0,1.45,2010-12,1
483,568319,60,17389.0,225.0,2011-01,9
484,559165,1,12977.0,0.65,2011-07,1
485,551966,2,15356.0,3.38,2010-12,6
486,542994,24,17230.0,30.0,2010-12,3
487,571041,2,14527.0,9.9,2010-12,11
488,574312,4,17221.0,8.32,2011-11,1
489,554991,1,14823.0,0.85,2011-05,1
490,536744,1,14466.0,14.95,2010-12,1
491,561544,28,16170.0,5.88,2011-04,4
492,574544,2,17084.0,15.9,2011-11,1
493,560504,24,13081.0,30.0,2010-12,8
494,561034,2,15506.0,4.16,2011-07,1
495,548712,1,17050.0,9.95,2011-02,3
496,568212,1,15154.0,1.25,2011-09,1
497,573320,24,15513.0,118.80000000000001,2010-12,11
498,543040,1,17337.0,1.95,2011-02,1
499,546101,8,14803.0,3.36,2011-02,2
500,564962,3,17777.0,1.26,2011-08,1
501,554283,6,17686.0,12.600000000000001,2011-02,4
502,569217,4,15579.0,5.96,2011-01,10
503,572088,10,14585.0,20.8,2011-10,1
504,580027,9,14178.0,18.900000000000002,2011-06,7
505,540975,1,14040.0,3.95,2011-01,1
506,581405,2,13521.0,0.78,2011-11,2
507,551268,13,16965.0,25.349999999999998,2011-04,1
508,567140,3,15410.0,18.75,2011-03,7
509,536396,6,17850.0,20.34,2010-12,1
510,577106,2,14456.0,2.5,2011-07,5
511,558877,4,17841.0,1.68,2010-12,8
512,540288,2,17634.0,17.0,2011-01,1
513,547488,3,13821.0,5.85,2011-03,1
514,569667,12,17521.0,10.2,2011-10,1
515,536375,2,17850.0,15.3,2010-12,1
516,565226,12,16992.0,19.799999999999997,2011-02,8
517,572082,12,17672.0,15.0,2011-02,9
518,554355,8,16992.0,16.8,2011-02,4
519,537216,12,15502.0,10.2,2010-12,1
520,567456,24,16029.0,90.0,2010-12,10
521,572280,6,16007.0,5.1,2011-05,6
522,539658,12,17213.0,15.0,2010-12,1
523,578923,3,14527.0,2.4899999999999998,2010-12,12
524,559128,2,17238.0,3.3,2010-12,8
525,554099,10,16341.0,21.0,2011-05,1
526,573122,1,14357.0,2.95,2011-10,1
527,575760,2,15965.0,0.78,2010-12,12
528,571408,4,15012.0,2.6,2010-12,11
529,543040,25,17337.0,10.5,2011-02,1
530,546944,2,14701.0,19.9,2011-01,3
531,547253,7,13869.0,8.75,2010-12,4
532,552364,48,13004.0,18.240000000000002,2010-12,6
533,568919,10,12937.0,16.5,2011-03,7
534,547945,12,14851.0,10.2,2011-03,1
535,572318,1,15436.0,2.1,2011-04,7
536,569232,2,16667.0,5.9,2011-02,9
537,577438,3,18118.0,5.85,2010-12,12
538,571682,1,14179.0,2.95,2011-10,1
539,556672,12,13742.0,5.04,2011-01,6
540,569535,2,15044.0,15.0,2010-12,11
541,560571,8,17735.0,6.64,2010-12,8
542,565995,2,16076.0,5.9,2011-05,5
543,549734,10,16409.0,8.5,2011-01,4
544,547063,2,14769.0,19.9,2010-12,4
545,542932,12,13089.0,10.2,2010-12,3
546,564627,6,15132.0,17.700000000000003,2011-03,6
547,541293,6,15311.0,7.5,2010-12,2
548,576236,1,13755.0,7.65,2011-10,2
549,575647,6,16440.0,2.34,2011-05,7
550,555728,1,17252.0,1.45,2011-06,1
551,574287,2,14723.0,2.5,2010-12,12
552,547360,1,16135.0,12.75,2011-03,1
553,545054,1,14472.0,4.25,2010-12,3
554,577092,6,15136.0,12.600000000000001,2011-09,3
555,542709,12,15144.0,19.799999999999997,2011-01,1
556,569738,1,13013.0,12.5,2010-12,11
557,565434,2,12867.0,3.3,2010-12,10
558,569212,3,15164.0,2.55,2011-01,10
559,559652,24,17164.0,13.200000000000001,2011-03,5
560,553402,2,17898.0,3.3,2011-05,1
561,558235,10,16242.0,20.8,2011-03,4
562,574077,1,17999.0,1.45,2010-12,12
563,537770,8,15529.0,30.0,2010-12,1
564,581237,2,15443.0,5.9,2011-01,12
565,569457,10,14606.0,6.5,2010-12,11
566,571054,1,14234.0,1.25,2011-10,1
567,574484,24,14388.0,6.959999999999999,2010-12,12
568,550627,12,16633.0,15.0,2011-04,1
569,573876,3,16360.0,14.850000000000001,2011-09,3
570,547094,4,13934.0,15.8,2011-03,1
571,579196,6,14096.0,7.5,2011-08,4
572,569919,2,15300.0,17.0,2011-10,1
573,570852,12,13078.0,41.400000000000006,2010-12,11
574,563213,5,16115.0,6.25,2011-02,7
575,575059,1,14071.0,2.08,2011-03,9
576,579406,12,13014.0,15.0,2011-03,9
577,549257,12,14465.0,5.04,2011-02,3
578,578018,2,15311.0,19.9,2010-12,12
579,540242,3,15046.0,4.949999999999999,2011-01,1
580,564342,1,16340.0,0.83,2011-08,1
581,550193,16,13952.0,6.72,2011-04,1
582,569254,1,18116.0,2.1,2010-12,11
583,568185,1,16594.0,1.69,2011-09,1
584,547649,2,18118.0,2.5,2010-12,4
585,547705,1,14056.0,1.95,2011-02,2
586,578664,6,15910.0,2.34,2011-01,11
