CustomerID,Recency,Frequency,MonetaryValue,Tenure,R,F,M,RFM_Segment,RFM_Score
12930,79,6,97.51,172,2,2,2,222,6.0
12931,22,19,8490.64,358,3,3,4,334,10.0
12933,25,24,113.87,284,3,4,2,342,9.0
12935,3,26,406.09999999999997,320,4,4,4,444,12.0
12936,18,14,236.79000000000002,79,4,3,3,433,10.0
12937,16,31,393.43,268,4,4,4,444,12.0
12939,65,9,1680.6799999999998,299,2,2,4,224,8.0
12940,55,22,207.07000000000002,88,2,4,3,243,9.0
12942,132,14,80.92,198,2,3,2,232,7.0
12944,36,8,189.39999999999998,355,3,2,3,323,8.0
12945,289,5,129.10000000000002,289,1,2,2,122,5.0
12947,144,17,215.86999999999998,337,1,3,3,133,7.0
12948,45,23,372.78,265,3,4,4,344,11.0
12949,31,42,748.02,253,3,4,4,344,11.0
12950,3,4,471.6,25,4,1,4,414,9.0
12951,9,8,157.29999999999998,331,4,2,3,423,9.0
12952,6,18,291.27,79,4,3,3,433,10.0
12953,10,4,76.3,10,4,1,2,412,7.0
12955,2,32,875.5200000000002,268,4,4,4,444,12.0
12956,307,2,7.9,307,1,1,1,111,3.0
12957,10,50,814.7,340,4,4,4,444,12.0
12962,8,3,40.45,114,4,1,1,411,6.0
12963,9,13,257.62000000000006,54,4,3,3,433,10.0
12965,90,16,102.1,90,2,3,2,232,7.0
12966,10,3,42.5,10,4,1,1,411,6.0
12968,113,2,24.95,113,2,1,1,211,4.0
12970,8,30,72.78,323,4,4,2,442,10.0
12971,16,53,2082.69,358,4,4,4,444,12.0
12974,198,2,47.5,198,1,1,1,111,3.0
12976,212,5,203.68,212,1,2,3,123,6.0
12977,157,1,0.65,157,1,1,1,111,3.0
12980,188,7,2463.5399999999995,359,1,2,4,124,7.0
12981,30,4,84.47999999999999,134,3,1,2,312,6.0
12982,243,6,85.28999999999999,243,1,2,2,122,5.0
12984,19,1,19.8,19,4,1,1,411,6.0
12985,1,12,174.82,29,4,3,3,433,10.0
12987,74,3,45.4,198,2,1,1,211,4.0
12988,293,15,102.41999999999999,293,1,3,2,132,6.0
12989,4,13,976.8000000000001,299,4,3,4,434,11.0
12990,32,1,20.8,32,3,1,1,311,5.0
12991,24,4,77.7,113,3,1,2,312,6.0
12993,24,10,154.14999999999998,299,3,3,3,333,9.0
12994,5,15,212.45,269,4,3,3,433,10.0
12997,23,10,165.37999999999997,318,3,3,3,333,9.0
12999,206,2,21.9,246,1,1,1,111,3.0
13000,260,3,46.08,365,1,1,1,111,3.0
13001,5,67,2109.4799999999996,327,4,4,4,444,12.0
13002,319,2,24.95,319,1,1,1,111,3.0
13004,12,80,1044.6299999999997,358,4,4,4,444,12.0
13005,174,6,92.85000000000001,247,1,2,2,122,5.0
13006,57,3,77.00999999999999,57,2,1,2,212,5.0
13008,324,4,46.92,324,1,1,1,111,3.0
13012,10,19,418.92,295,4,3,4,434,11.0
13013,22,32,624.6,249,3,4,4,344,11.0
13014,11,26,680.6,282,4,4,4,444,12.0
13015,54,32,900.1499999999999,250,2,4,4,244,10.0
13016,74,10,184.10999999999999,124,2,3,3,233,8.0
13018,17,94,1483.6200000000006,296,4,4,4,444,12.0
13021,5,28,585.5,359,4,4,4,444,12.0
13023,65,10,181.48999999999998,130,2,3,3,233,8.0
13026,2,9,391.79999999999995,276,4,2,4,424,10.0
13027,114,5,1344.0,355,2,2,4,224,8.0
13028,23,10,160.20000000000002,46,3,3,3,333,9.0
13029,139,2,315.9,139,2,1,3,213,6.0
13030,12,4,60.93,12,4,1,2,412,7.0
13032,53,8,115.23,88,2,2,2,222,6.0
13033,358,3,55.050000000000004,358,1,1,1,111,3.0
13034,55,5,86.99999999999999,55,2,2,2,222,6.0
13035,74,6,262.70000000000005,261,2,2,3,223,7.0
13037,139,15,237.22,257,2,3,3,233,8.0
13038,291,4,75.6,291,1,1,2,112,4.0
13040,9,9,109.01,34,4,2,2,422,8.0
13043,274,3,196.8,274,1,1,3,113,5.0
13044,292,9,150.84,292,1,2,3,123,6.0
13045,100,4,45.34,100,2,1,1,211,4.0
13046,31,7,99.33000000000001,267,3,2,2,322,7.0
13047,57,36,626.02,310,2,4,4,244,10.0
13048,15,31,479.40000000000003,328,4,4,4,444,12.0
13049,65,3,122.1,319,2,1,2,212,5.0
13050,15,76,1147.5200000000004,361,4,4,4,444,12.0
13052,213,3,72.6,213,1,1,2,112,4.0
13055,79,10,191.64,79,2,3,3,233,8.0
13058,25,3,59.0,152,3,1,2,312,6.0
13060,254,4,62.39999999999999,254,1,1,2,112,4.0
13061,73,3,62.1,73,2,1,2,212,5.0
13062,192,2,32.4,192,1,1,1,111,3.0
13064,13,12,152.28,328,4,3,3,433,10.0
13066,25,11,94.10000000000001,33,3,3,2,332,8.0
13067,83,3,21.44,83,2,1,1,211,4.0
13069,15,72,627.5300000000001,362,4,4,4,444,12.0
13070,193,2,41.6,193,1,1,1,111,3.0
13072,267,1,29.700000000000003,267,1,1,1,111,3.0
13075,130,3,136.79999999999998,130,2,1,3,213,6.0
13077,2,18,75.79,291,4,3,2,432,9.0
13078,4,58,1763.4599999999996,360,4,4,4,444,12.0
13080,180,3,19.68,180,1,1,1,111,3.0
13081,12,183,5180.059999999998,338,4,4,4,444,12.0
13082,158,10,216.8,339,1,3,3,133,7.0
13083,5,5,136.0,76,4,2,2,422,8.0
13085,296,1,12.600000000000001,296,1,1,1,111,3.0
13089,5,329,10490.390000000003,362,4,4,4,444,12.0
13090,9,30,661.3199999999998,290,4,4,4,444,12.0
13091,29,5,105.41999999999999,29,3,2,2,322,7.0
13092,71,5,70.32,278,2,2,2,222,6.0
13093,276,28,1185.84,359,1,4,4,144,9.0
13094,130,2,152.64000000000001,206,2,1,3,213,6.0
13095,71,1,9.36,71,2,1,1,211,4.0
13097,33,82,1281.7600000000002,361,3,4,4,344,11.0
13098,2,106,4994.410000000001,318,4,4,4,444,12.0
13101,235,2,25.5,235,1,1,1,111,3.0
13102,2,68,1424.9599999999998,361,4,4,4,444,12.0
13104,4,4,243.96,355,4,1,3,413,8.0
13106,134,1,76.5,134,2,1,2,212,5.0
13107,86,13,357.08,334,2,3,4,234,9.0
13109,60,10,153.73,158,2,3,3,233,8.0
13110,32,31,297.79,312,3,4,3,343,10.0
13113,1,48,2387.2400000000007,332,4,4,4,444,12.0
13115,12,22,503.76,185,4,4,4,444,12.0
13116,139,5,77.74,139,2,2,2,222,6.0
13117,22,8,121.56,320,3,2,2,322,7.0
13118,20,15,126.64000000000001,289,3,3,2,332,8.0
13120,239,1,30.599999999999998,239,1,1,1,111,3.0
13121,270,10,51.31999999999999,270,1,3,1,131,5.0
13122,241,9,157.83,241,1,2,3,123,6.0
13124,90,50,831.0999999999999,360,2,4,4,244,10.0
13126,5,30,384.4299999999999,339,4,4,4,444,12.0
13127,78,4,68.7,78,2,1,2,212,5.0
13131,24,9,213.5,188,3,2,3,323,8.0
13132,262,2,62.0,262,1,1,2,112,4.0
13133,274,2,39.7,305,1,1,1,111,3.0
13134,86,18,344.54,241,2,3,4,234,9.0
13135,197,1,3096.0,197,1,1,4,114,6.0
13136,57,26,556.96,213,2,4,4,244,10.0
13137,11,129,681.6899999999998,309,4,4,4,444,12.0
13138,23,7,114.02000000000001,241,3,2,2,322,7.0
13139,17,39,1109.83,260,4,4,4,444,12.0
13140,109,7,78.56,116,2,2,2,222,6.0
13141,85,30,480.93000000000006,316,2,4,4,244,10.0
13142,20,7,91.14,20,3,2,2,322,7.0
13144,333,1,23.6,333,1,1,1,111,3.0
13145,92,1,45.0,92,2,1,1,211,4.0
13146,27,6,41.980000000000004,27,3,2,1,321,6.0
13147,100,1,118.80000000000001,100,2,1,2,212,5.0
13148,30,85,943.1800000000001,365,3,4,4,344,11.0
13149,15,14,309.8,290,4,3,3,433,10.0
13151,296,11,184.60000000000002,296,1,3,3,133,7.0
13153,6,3,37.44,6,4,1,1,411,6.0
13155,34,6,127.39999999999999,327,3,2,2,322,7.0
13157,50,10,169.19999999999996,299,3,3,3,333,9.0
13158,95,14,226.27,319,2,3,3,233,8.0
13159,9,31,360.20000000000005,116,4,4,4,444,12.0
13160,23,1,34.8,23,3,1,1,311,5.0
13161,314,1,27.0,314,1,1,1,111,3.0
13162,123,19,397.61,335,2,3,4,234,9.0
13165,47,6,195.6,352,3,2,3,323,8.0
13166,284,6,38.65,284,1,2,1,121,4.0
13167,19,12,122.06000000000002,144,4,3,2,432,9.0
13168,37,19,190.66000000000003,319,3,3,3,333,9.0
13169,253,1,23.4,253,1,1,1,111,3.0
13170,27,8,32.6,27,3,2,1,321,6.0
13171,50,8,46.940000000000005,300,3,2,1,321,6.0
13173,5,3,14.600000000000001,5,4,1,1,411,6.0
13174,17,25,244.97000000000003,317,4,4,3,443,11.0
13176,47,12,86.25000000000001,47,3,3,2,332,8.0
13177,65,4,67.35,65,2,1,2,212,5.0
13178,27,52,1231.3599999999997,361,3,4,4,344,11.0
13182,46,2,20.04,46,3,1,1,311,5.0
13183,8,23,823.3000000000002,335,4,4,4,444,12.0
13184,15,29,263.4199999999999,291,4,4,3,443,11.0
13186,40,21,383.69999999999993,129,3,3,4,334,10.0
13187,338,9,69.6,338,1,2,2,122,5.0
13189,19,6,64.2,116,4,2,2,422,8.0
13192,96,18,233.56000000000003,206,2,3,3,233,8.0
13193,62,7,40.45,62,2,2,1,221,5.0
13194,136,1,9.0,136,2,1,1,211,4.0
13196,12,21,336.48,263,4,3,4,434,11.0
13198,11,39,604.78,362,4,4,4,444,12.0
13199,4,23,2043.4399999999996,359,4,4,4,444,12.0
13200,20,7,133.14999999999998,127,3,2,2,322,7.0
13203,10,11,158.55999999999997,243,4,3,3,433,10.0
13208,59,27,221.76999999999998,310,2,4,3,243,9.0
13209,31,64,1076.39,362,3,4,4,344,11.0
13210,94,6,95.84,94,2,2,2,222,6.0
13211,96,8,164.14999999999998,96,2,2,3,223,7.0
13212,20,28,145.27,62,3,4,3,343,10.0
13213,57,18,294.80000000000007,200,2,3,3,233,8.0
13216,268,1,92.5,268,1,1,2,112,4.0
13220,220,4,19.689999999999998,220,1,1,1,111,3.0
13221,241,13,133.72,360,1,3,2,132,6.0
13223,201,2,115.80000000000001,233,1,1,2,112,4.0
13224,61,24,578.0700000000002,152,2,4,4,244,10.0
13225,4,7,1288.98,362,4,2,4,424,10.0
13226,274,1,8.4,274,1,1,1,111,3.0
13228,82,1,179.0,82,2,1,3,213,6.0
13229,226,2,36.75,226,1,1,1,111,3.0
13230,5,122,597.53,321,4,4,4,444,12.0
13232,13,26,225.14000000000001,244,4,4,3,443,11.0
13233,75,13,131.76000000000002,337,2,3,2,232,7.0
13235,213,11,185.15,213,1,3,3,133,7.0
13236,25,10,233.62000000000003,107,3,3,3,333,9.0
13238,24,8,165.10000000000002,361,3,2,3,323,8.0
13239,262,6,109.83000000000001,262,1,2,2,122,5.0
13240,97,12,89.69,258,2,3,2,232,7.0
13242,113,1,20.8,113,2,1,1,211,4.0
13243,204,11,142.89,204,1,3,3,133,7.0
13244,93,4,17.9,93,2,1,1,211,4.0
13245,51,2,61.3,51,3,1,2,312,6.0
13246,19,38,905.29,331,4,4,4,444,12.0
13247,52,4,69.0,83,2,1,2,212,5.0
13248,125,4,72.44,190,2,1,2,212,5.0
13249,94,5,310.86,262,2,2,3,223,7.0
13253,157,8,223.44,340,1,2,3,123,6.0
13255,10,1,49.800000000000004,10,4,1,1,411,6.0
13258,24,9,119.78999999999999,206,3,2,2,322,7.0
13259,62,21,95.30999999999999,62,2,3,2,232,7.0
13260,62,1,26.0,62,2,1,1,211,4.0
13261,286,4,441.6,286,1,1,4,114,6.0
13262,264,1,6.959999999999999,264,1,1,1,111,3.0
13263,2,319,1467.1100000000004,326,4,4,4,444,12.0
13265,54,14,263.15999999999997,274,2,3,3,233,8.0
13266,12,44,944.27,257,4,4,4,444,12.0
13267,3,43,930.5899999999999,361,4,4,4,444,12.0
13268,18,101,802.3,268,4,4,4,444,12.0
13269,2,70,1112.7200000000003,362,4,4,4,444,12.0
13271,38,22,64.17,38,3,4,2,342,9.0
13272,90,4,60.45,90,2,1,2,212,5.0
13273,114,2,14.05,114,2,1,1,211,4.0
13276,64,10,160.6,100,2,3,3,233,8.0
13277,117,1,25.0,117,2,1,1,211,4.0
13278,41,9,82.53999999999999,41,3,2,2,322,7.0
13280,123,13,130.21,338,2,3,2,232,7.0
13282,19,9,309.20000000000005,221,4,2,3,423,9.0
13283,186,1,17.0,186,1,1,1,111,3.0
13285,24,48,697.81,291,3,4,4,344,11.0
13291,156,4,36.0,156,1,1,1,111,3.0
13292,39,5,86.9,285,3,2,2,322,7.0
13294,190,9,151.7,250,1,2,3,123,6.0
13296,138,1,15.0,138,2,1,1,211,4.0
13297,8,13,525.18,68,4,3,4,434,11.0
13300,170,1,19.8,170,1,1,1,111,3.0
13301,104,16,138.05,293,2,3,3,233,8.0
13302,156,1,63.75,156,1,1,2,112,4.0
13304,352,4,57.21,352,1,1,1,111,3.0
13305,5,12,264.49,296,4,3,3,433,10.0
13308,23,9,143.56,204,3,2,3,323,8.0
13309,8,23,365.0,309,4,4,4,444,12.0
13310,29,14,243.12000000000003,325,3,3,3,333,9.0
13311,5,10,127.67999999999999,151,4,3,2,432,9.0
13313,23,13,242.56000000000003,340,3,3,3,333,9.0
13314,2,11,133.70999999999998,74,4,3,2,432,9.0
13316,38,18,1141.8600000000001,255,3,3,4,334,10.0
13317,67,20,362.76,359,2,3,4,234,9.0
13318,38,1,42.96,38,3,1,1,311,5.0
13319,6,84,1906.0000000000005,355,4,4,4,444,12.0
13320,79,16,259.0,214,2,3,3,233,8.0
13321,87,3,130.84,87,2,1,2,212,5.0
13322,18,8,89.49000000000001,18,4,2,2,422,8.0
13323,4,4,270.5,85,4,1,3,413,8.0
13324,37,14,1218.6599999999999,361,3,3,4,334,10.0
13325,82,3,268.0,82,2,1,3,213,6.0
13327,39,14,343.40000000000003,296,3,3,4,334,10.0
13328,317,4,356.99999999999994,317,1,1,4,114,6.0
13329,32,2,110.28,32,3,1,2,312,6.0
13330,93,10,251.0,316,2,3,3,233,8.0
13332,15,5,80.2,15,4,2,2,422,8.0
13334,83,57,687.3200000000003,306,2,4,4,244,10.0
13336,78,7,105.68,78,2,2,2,222,6.0
13338,158,6,166.39999999999998,158,1,2,3,123,6.0
13339,201,11,192.0,201,1,3,3,133,7.0
13340,46,26,2007.9599999999996,277,3,4,4,344,11.0
13341,261,10,248.75,261,1,3,3,133,7.0
13343,178,5,94.3,178,1,2,2,122,5.0
13344,68,13,379.3,278,2,3,4,234,9.0
13345,288,6,102.25,288,1,2,2,122,5.0
13347,71,4,168.6,71,2,1,3,213,6.0
13348,65,1,10.2,65,2,1,1,211,4.0
13349,11,4,41.68,11,4,1,1,411,6.0
13350,17,5,124.4,80,4,2,2,422,8.0
13351,67,4,67.44,67,2,1,2,212,5.0
13352,61,7,111.06,61,2,2,2,222,6.0
13354,72,8,108.54000000000002,72,2,2,2,222,6.0
13355,123,7,125.0,123,2,2,2,222,6.0
13356,81,9,226.71,81,2,2,3,223,7.0
13357,258,20,115.99000000000001,258,1,3,2,132,6.0
13358,269,6,64.74000000000001,269,1,2,2,122,5.0
13359,64,2,42.60000000000001,64,2,1,1,211,4.0
13362,10,33,690.9,288,4,4,4,444,12.0
13363,18,9,145.31,44,4,2,3,423,9.0
13364,72,1,17.4,72,2,1,1,211,4.0
13365,34,28,544.64,218,3,4,4,344,11.0
13368,257,8,211.35000000000002,338,1,2,3,123,6.0
13372,90,4,89.51,90,2,1,2,212,5.0
13373,61,31,698.2499999999999,277,2,4,4,244,10.0
13375,89,9,136.1,89,2,2,2,222,6.0
13376,100,13,236.85,235,2,3,3,233,8.0
13379,27,15,83.59,137,3,3,2,332,8.0
13381,32,38,800.7900000000002,299,3,4,4,344,11.0
13382,281,4,62.7,281,1,1,2,112,4.0
13384,31,25,896.9500000000002,179,3,4,4,344,11.0
13385,330,5,110.6,330,1,2,2,122,5.0
13388,132,9,210.76999999999998,132,2,2,3,223,7.0
13389,12,11,167.97000000000003,233,4,3,3,433,10.0
13394,2,33,665.8900000000001,310,4,4,4,444,12.0
13395,186,4,41.76,186,1,1,1,111,3.0
13396,30,10,342.54,320,3,3,4,334,10.0
13397,73,10,362.79999999999995,340,2,3,4,234,9.0
13398,193,7,103.42999999999999,193,1,2,2,122,5.0
13402,128,8,123.51,128,2,2,2,222,6.0
13403,18,1,15.0,18,4,1,1,411,6.0
13404,213,2,41.6,213,1,1,1,111,3.0
13405,205,6,113.99000000000001,318,1,2,2,122,5.0
13408,2,98,5686.879999999999,362,4,4,4,444,12.0
13410,75,5,125.84,292,2,2,2,222,6.0
13411,108,5,94.65,108,2,2,2,222,6.0
13414,134,7,168.45,158,2,2,3,223,7.0
13416,44,2,59.400000000000006,82,3,1,2,312,6.0
13417,5,10,222.10000000000002,206,4,3,3,433,10.0
13418,12,58,1296.3499999999997,365,4,4,4,444,12.0
13419,64,2,14.399999999999999,64,2,1,1,211,4.0
13420,171,1,10.5,171,1,1,1,111,3.0
13421,41,19,389.92,291,3,3,4,334,10.0
13422,65,30,670.34,65,2,4,4,244,10.0
13425,109,16,245.07,295,2,3,3,233,8.0
13426,1,29,676.5999999999999,337,4,4,4,444,12.0
13427,20,6,148.04,216,3,2,3,323,8.0
13428,11,14,40.93,11,4,3,1,431,8.0
13429,11,16,291.16,76,4,3,3,433,10.0
13430,19,8,76.56,87,4,2,2,422,8.0
13431,68,9,228.42000000000002,89,2,2,3,223,7.0
13435,6,22,759.0000000000001,190,4,4,4,444,12.0
13436,2,2,28.2,2,4,1,1,411,6.0
13437,15,31,666.36,191,4,4,4,444,12.0
13439,256,16,83.85,256,1,3,2,132,6.0
13441,92,1,10.2,92,2,1,1,211,4.0
13447,24,9,175.69,36,3,2,3,323,8.0
13448,17,30,491.28999999999996,365,4,4,4,444,12.0
13449,24,2,41.650000000000006,24,3,1,1,311,5.0
13450,27,14,411.05999999999983,219,3,3,4,334,10.0
13451,27,89,570.73,335,3,4,4,344,11.0
13452,260,2,590.0,271,1,1,4,114,6.0
13453,166,4,111.58,290,1,1,2,112,4.0
13455,25,3,73.8,25,3,1,2,312,6.0
13456,18,13,314.09000000000003,208,4,3,3,433,10.0
13458,8,78,1738.2000000000005,360,4,4,4,444,12.0
13460,30,1,17.0,30,3,1,1,311,5.0
13461,39,4,197.7,164,3,1,3,313,7.0
13462,253,2,37.8,253,1,1,1,111,3.0
13464,59,4,84.9,59,2,1,2,212,5.0
13466,185,5,78.39999999999999,185,1,2,2,122,5.0
13467,11,23,242.26999999999998,37,4,4,3,443,11.0
13468,2,54,1044.42,359,4,4,4,444,12.0
13470,100,3,49.5,116,2,1,1,211,4.0
13471,2,65,693.9600000000002,48,4,4,4,444,12.0
13473,61,6,142.29000000000002,333,2,2,3,223,7.0
13474,237,11,46.10000000000001,237,1,3,1,131,5.0
13475,218,14,219.20999999999998,299,1,3,3,133,7.0
13476,179,12,214.49999999999997,282,1,3,3,133,7.0
13477,58,9,152.32,292,2,2,3,223,7.0
13479,201,3,72.3,235,1,1,2,112,4.0
13481,46,22,333.21,257,3,4,3,343,10.0
13482,233,3,52.980000000000004,233,1,1,1,111,3.0
13483,66,3,59.7,66,2,1,2,212,5.0
13484,242,3,63.6,242,1,1,2,112,4.0
13485,234,4,73.3,234,1,1,2,112,4.0
13486,79,14,217.46,156,2,3,3,233,8.0
13487,58,9,149.2,354,2,2,3,223,7.0
13488,18,82,1595.5799999999997,332,4,4,4,444,12.0
13489,106,4,142.07999999999998,295,2,1,3,213,6.0
13491,52,15,192.63000000000002,360,2,3,3,233,8.0
13494,312,3,70.80000000000001,312,1,1,2,112,4.0
13495,8,7,376.2,360,4,2,4,424,10.0
13496,11,3,45.0,360,4,1,1,411,6.0
13497,283,3,54.3,283,1,1,1,111,3.0
13499,18,8,286.45000000000005,270,4,2,3,423,9.0
13500,24,10,189.5,123,3,3,3,333,9.0
13502,17,2,16.8,275,4,1,1,411,6.0
13503,72,1,10.5,72,2,1,1,211,4.0
13504,65,6,72.12,65,2,2,2,222,6.0
13506,317,1,20.4,317,1,1,1,111,3.0
13507,4,33,492.85999999999996,146,4,4,4,444,12.0
13508,244,3,27.630000000000003,244,1,1,1,111,3.0
13509,9,8,121.22,285,4,2,2,422,8.0
13510,2,21,329.31999999999994,184,4,3,3,433,10.0
13512,261,6,89.3,261,1,2,2,122,5.0
13513,127,2,37.65,127,2,1,1,211,4.0
13515,73,7,103.2,248,2,2,2,222,6.0
13516,22,7,370.66,73,3,2,4,324,9.0
13517,60,31,450.99,180,2,4,4,244,10.0
13518,86,7,121.39999999999999,86,2,2,2,222,6.0
13519,79,1,11.9,79,2,1,1,211,4.0
13521,2,98,263.2799999999999,11,4,4,3,443,11.0
13523,34,29,893.3699999999998,200,3,4,4,344,11.0
13524,41,3,53.78,220,3,1,1,311,5.0
13525,15,1,23.9,15,4,1,1,411,6.0
13527,34,47,538.8299999999998,327,3,4,4,344,11.0
13529,79,3,51.050000000000004,205,2,1,1,211,4.0
13531,206,3,79.85,206,1,1,2,112,4.0
13532,34,10,29.61,34,3,3,1,331,7.0
13533,183,16,63.29,268,1,3,2,132,6.0
13534,3,63,1242.0499999999995,359,4,4,4,444,12.0
13536,2,40,723.0700000000002,76,4,4,4,444,12.0
13538,44,6,283.65,275,3,2,3,323,8.0
13539,86,8,161.39999999999998,310,2,2,3,223,7.0
13544,40,21,66.33000000000001,241,3,3,2,332,8.0
13546,13,15,84.90000000000002,201,4,3,2,432,9.0
13548,97,26,127.1,244,2,4,2,242,8.0
13549,65,9,173.60000000000002,202,2,2,3,223,7.0
13551,320,1,17.85,320,1,1,1,111,3.0
13552,67,30,1059.26,316,2,4,4,244,10.0
13555,74,29,764.9599999999998,202,2,4,4,244,10.0
13557,29,9,148.08,281,3,2,3,323,8.0
13558,6,43,181.15,69,4,4,3,443,11.0
13560,8,7,45.1,8,4,2,1,421,7.0
13562,82,12,249.4,246,2,3,3,233,8.0
13563,85,10,222.27999999999997,141,2,3,3,233,8.0
13564,145,9,644.7399999999999,355,1,2,4,124,7.0
13565,20,11,78.23,335,3,3,2,332,8.0
13566,41,37,201.26000000000002,83,3,4,3,343,10.0
13568,174,6,19.45,174,1,2,1,121,4.0
13569,18,12,55.1,18,4,3,1,431,8.0
13570,244,6,55.910000000000004,244,1,2,1,121,4.0
13571,13,86,511.2999999999999,254,4,4,4,444,12.0
13572,206,7,182.52999999999997,206,1,2,3,123,6.0
13573,51,6,73.75,254,3,2,2,322,7.0
13575,24,13,194.5,177,3,3,3,333,9.0
13576,11,25,1211.14,338,4,4,4,444,12.0
13577,26,17,439.84999999999997,242,3,3,4,334,10.0
13581,310,1,2.95,310,1,1,1,111,3.0
13583,156,10,151.9,156,1,3,3,133,7.0
13584,307,9,43.2,307,1,2,1,121,4.0
13587,64,3,357.59999999999997,64,2,1,4,214,7.0
13588,16,35,454.97999999999996,256,4,4,4,444,12.0
13589,15,3,67.35,15,4,1,2,412,7.0
13590,12,19,373.42999999999995,304,4,3,4,434,11.0
13591,65,13,324.4,267,2,3,3,233,8.0
13592,206,3,58.97,265,1,1,2,112,4.0
13593,109,29,507.46999999999997,337,2,4,4,244,10.0
13594,53,5,56.51,53,2,2,1,221,5.0
13596,6,35,147.43,13,4,4,3,443,11.0
13598,48,4,15.649999999999999,48,3,1,1,311,5.0
13599,2,45,1139.8199999999997,338,4,4,4,444,12.0
13600,313,6,48.57,313,1,2,1,121,4.0
13601,46,18,134.25,212,3,3,2,332,8.0
13602,65,6,101.1,65,2,2,2,222,6.0
13603,27,8,62.19,27,3,2,2,322,7.0
13606,30,5,25.32,244,3,2,1,321,6.0
13607,41,27,179.72000000000003,41,3,4,3,343,10.0
13610,13,56,284.67,286,4,4,3,443,11.0
13611,90,14,234.79999999999998,360,2,3,3,233,8.0
13614,25,41,327.6799999999999,165,3,4,3,343,10.0
13615,319,6,103.8,319,1,2,2,122,5.0
13617,41,13,136.47,181,3,3,3,333,9.0
